Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"05.1, 65, 65.051, 65.4, 65.4051",,Moda.,3618,1459-692X,2004-01-01
05.1,,Seura.,3483,0358-8017,1979-01-01
"05.1, 59, 59.6, 59.6051",,Kaksplus.,3425,0355-4252,1969-01-01
"05.1, 62, 62.051, 62.51051, 62.511",,Tuulilasi.,3419,0041-4468,1963-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Hervantalainen,3417,978-952-5918-71-7,2012-01-01
"05.1, 82.144051, 85.32051",,Mustanaamio.,3251,0356-6005,1966-01-01
"05.1, 65, 65.4051, 65.424051",,Ottobre design.,3198,1457-2192,2000-01-01
"05.1, 59, 59.3051",,Kunto plus.,3141,0788-348X,1988-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 84.2B, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja viimeinen tötterö,3089,978-951-31-3899-8,2007-01-01
05.1,,Eeva.,3035,0358-8351,1978-01-01
05.1,,Suomen kuvalehti.,2927,0039-5552,1916-01-01
85.32051,,W.i.t.c.h.,2921,1458-9036,2002-01-01
"05.1, 65, 65.051, Lainattavat lehdet",,Burda.,2918,0007-6031,1985-01-01
"05.1, 67.051, 67.6, 67.6051",,Erä.,2898,0356-3464,1977-01-01
"05.1, 65.051, 65.43051",,Kauneimmat käsityöt.,2850,,1981-01-01
"05.1, 90.051",,Historia.,2826,1795-4215,2005-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 LA, 84.2B, 84.2H, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja villi kone,2800,951-31-3732-5,2006-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja kuuluisa Kamilla,2790,978-951-31-4998-7,2009-01-01
"05.1, 2012 : 1, 79.051, 79.37051",,Jääkiekkolehti: Suomen jääkiekkoliiton ja SM-liigan virallinen julkaisu.,2719,1238-0903,1993-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jokinen, Seppo.",Ajomies,2714,978-952-5918-25-0,2011-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 84.2B","Nopola, Sinikka.",Risto Räppääjä ja kauhea makkara,2636,951-31-1145-8,1998-01-01
"05.1, 59.6051",,Vauva.,2609,0789-9238,1992-01-01
"05.1, 59, 59.051",,Voi hyvin.,2560,0780-1122,1982-01-01
"05.1, 67.3, 67.3051",,Viherpiha.,2559,1236-990X,1994-01-01
"77.4983, 84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA ","Nopola, Sinikka.",Risto Räppääjä ja komea Kullervo,2551,951-31-2550-5,2002-01-01
84.2,"Kettu, Katja.",Kätilö : romaani,2545,978-951-0-38200-4,2011-01-01
"0.51, 05.1, 78, 78.89051, 78.891051",,Suosikki.,2514,0355-4260,1961-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä saa isän,2510,978-951-31-5147-8,2011-01-01
05.1,,Koululainen : lasten koulu- ja raittiuslehti,2465,0357-2714,1945-01-01
"68.051, 76.1",,Sköna hem.,2431,1401-5013,1996-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85, 85.12, 85.12 LA","Nopola, Sinikka","Hetki lyö, Risto Räppääjä",2410,951-31-0995-X,1997-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 84.2B, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja Nuudelipää,2391,951-31-1478-3,2000-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja Hilpuri Tilli,2363,951-31-3116-5,2004-01-01
"05.1, 61, 61.051, 61.0511",,Mikrobitti : kotimikron käyttäjän peruslehti.,2328,0781-2078,1984-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja sitkeä finni,2320,9789513127725,2003-01-01
"84.2, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu supersankareina,2306,978-951-1-24541-4,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lehtolainen, Leena.",Oikeuden jalopeura,2302,978-951-31-6219-1,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja pakastaja-Elvi,2292,951-31-2050-3,2001-01-01
84.2,"Tervo, Jari.",Layla : romaani,2275,978-951-0-38277-6,2011-01-01
05.1,,Miss Mix.,2268,1796-7198,2006-01-01
"05.1, 76, 76.051",,Glorian antiikki.,2194,1238-5654,1995-01-01
"05.1, 65, 65.4, 65.4051, Lainattavat lehdet",,Novita : neulomisen uudet tuulet.,2174,1795-1437,2004-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu työn touhussa,2140,951-1-21314-8,2006-01-01
"05.1, 50",,Tiede.,2094,1457-9030,2001-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun avaruusseikkailu,2085,978-951-1-25460-7,2011-01-01
"05.1, 61.051, 67.051, 67.6, 67.6051",,Metsästys ja kalastus.,2068,0026-1629,1912-01-01
84.2,"Hirvisaari, Laila.","Minä, Katariina : romaani",2029,978-951-1-25005-0,2011-01-01
84.2,"Liksom, Rosa.",Hytti nro 6 : kertomus,2012,978-951-0-38274-5,2011-01-01
84.2,"Mustonen, Enni.",Jääleinikki,2006,978-951-1-25423-2,2011-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu päiväkodissa,1998,978-951-1-19658-7,2004-01-01
05.1,,Meidän perhe.,1969,1459-9929,2004-01-01
"42, 84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun Suomi,1969,978-951-1-21915-6,2007-01-01
84.2,"Härkönen, Anna-Leena.",Onnen tunti,1950,978-951-1-25272-6,2011-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Kyrö, Tuomas.",Mielensäpahoittaja ja ruskeakastike,1947,978-951-0-39079-5,2012-01-01
"05.1, 60.7051, 62, 62.58, 68.051, Lainattavat lehdet",,Pienoismalli.,1934,0784-7610,1981-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun oudot kojeet,1926,951-1-20084-4,2005-01-01
"66, 66.051",,Talo & koti : asumisen erikoislehti.,1922,1457-3911,2000-01-01
"05.1, 79.81051",,Pelaaja.,1840,1459-2096,2002-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2D","Tuominen, Pirjo.",Tuonelan joutsen,1835,978-951-31-6218-4,2011-01-01
"05.1, 62,512, 62.512, 62.512051",,Bike.,1834,1455-1861,1997-01-01
"85.32, 85.32051",,Tex Willer.,1831,0356-5831,1971-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Räätälöity ratkaisu,1820,978-951-23-5305-7,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Marklund, Liza.",Panttivanki,1802,978-951-1-25911-4,2011-01-01
"84.2, 84.2 RO","Lehtinen, Tuija.",Miss Seinäruusu,1776,978-951-1-25511-6,2011-01-01
84.2,"Oksanen, Sofi.",Puhdistus : romaani,1724,978-951-0-33973-2,2008-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun outo unikirja,1691,978-951-1-22673-4,2008-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Pakkanen, Outi.",Julma kuu,1683,978-952-5918-70-0,2012-01-01
"84.2, 84.2 RO","Kivelä, Anneli.",Köydenvetoa Katajamäellä,1680,978-951-23-5558-7,2012-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä : erittäin salainen - top secret,1667,978-951-31-4473-9,2008-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22 Tip","Havukainen, Aino.",Tatu ja Patu Helsingissä,1662,951-1-18984-0,2003-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun oudot aakkoset,1643,978-951-1-23687-0,2009-01-01
"84.2, 84.2  J, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Sipilä, Jarkko.",Muru,1633,978-952-5918-24-3,2011-01-01
"84.2, 84.2 R, 84.2 RO","Utrio, Kaari.",Oppinut neiti,1614,978-952-5330-41-0,2011-01-01
"05.1, 40, 40.051",,National geographic : [suomenkielinen painos].,1607,1457-5981,2000-01-01
"82.144051, 85.32051",,Aku Ankka : kuukauden sarjisekstra.,1600,1456-7830,1999-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jungstedt, Mari.",Hiljaisuuden hinta,1588,978-951-1-24514-8,2012-01-01
"05.1, 65, 65.051, 65.051 joulu",,Askartelulehti.,1583,1456-4769,1998-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Mäki, Reijo.",Mustasiipi,1583,978-951-1-25495-9,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Remes, Ilkka.",Teräsleijona,1567,978-951-0-38419-0,2011-01-01
"05.1, 66.051",,Meidän mökki : vapaa-ajan asumisen erikoislehti.,1553,1456-6257,1998-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Rönkä, Matti.",Väärän maan vainaja,1549,978-951-20-8584-2,2011-01-01
"84.2, 84.2 JÄN","Hayden, Torey.",Viattomat,1535,978-951-1-26021-9,2012-01-01
"05.1, 40.7051",,Matkaopas.,1521,1456-419X,1999-01-01
84.2,"Kyrö, Tuomas.",Kerjäläinen ja jänis,1521,978-952-234-068-9,2011-01-01
84.2,"Hietamies, Eve.",Tarhapäivä,1490,978-951-1-25928-2,2012-01-01
"84.2, 84.2  D, 84.2  JÄN, 84.2 D, 84.2 JÄ, 84.2 JÄN","Mäki, Reijo.",Sheriffi,1466,978-951-1-26321-0,2012-01-01
"05.1, 60, 60.051, 62.051, 66, 66.051",,TM Rakennusmaailma.,1455,1459-1839,2003-01-01
"01.5, 05.1, 62, 62.5, 62.5051",,Mobilisti : lehti vanhojen ajoneuvojen harrastajille.,1443,0783-4616,1982-01-01
84.2,"Oksanen, Sofi.",Kun kyyhkyset katosivat,1420,978-952-01-0781-9,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, Jännitys","Ropponen, Markku.",Kuhala & yöjuna,1408,978-951-31-6598-7,2012-01-01
79.37051,,Pro hockey NHL-magazine.,1399,1457-7844,1997-01-01
"05.1, 79.6051",,Fit.,1380,,2008-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU, 85.32","Havukainen, Aino.",Veera ja maatalon eläimet,1373,951-1-17448-7,2001-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Herra Hakkaraisen seitsemän ihmettä,1372,978-951-1-22929-2,2008-01-01
"84.2, 84.2 JÄ","Roberts, Nora.",Valkokankaan varjot,1353,978-951-20-8411-1,2012-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Kyrö, Tuomas.",Mielensäpahoittaja,1344,978-951-0-36626-4,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Nesbø, Jo.",Aave,1343,978-951-0-38712-2,2012-01-01
"05.1, 62.51",,V8-magazine.,1338,0780-2102,1978-01-01
"84.2, 85.22, 85.22 KU","Kunnas, Mauri.",Hurja-Harri ja pullon henki,1327,978-951-1-24540-7,2010-01-01
"84.2, 84.2 RO","Kivelä, Anneli.",Katajamäki yllättyy,1326,978-951-23-5386-6,2011-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 JÄ, 84.2 JÄN","Holt, Anne.",Kuoleman tahdissa,1321,978-951-20-8542-2,2011-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Viha on paha vieras,1320,978-951-23-4885-5,2007-01-01
"05.1, 68.051",,"deko. : sisustus, design, muoti, matkat, ruoka.",1320,1459-7128,2004-01-01
"05.1, 82.144051, 85.32051",,Hämähäkkimies.,1313,0357-8844,1980-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lehtolainen, Leena.",Paholaisen pennut,1304,978-951-31-6827-8,2012-01-01
84.2,"Hämeen-Anttila, Virpi.",Railo : romaani,1287,978-951-1-25510-9,2011-01-01
84.2,"Tuominen, Pirjo.",Perintömaat,1286,978-951-31-5626-8,2010-01-01
"59, 84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Havukainen, Aino.",Veera lääkärissä,1271,9789511160182,1999-01-01
84.2,"Binchy, Maeve.",Koko kadun kasvatti,1269,978-951-0-38028-4,2011-01-01
"84, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Lehtolainen, Leena.",Henkivartija,1265,978-951-31-4530-9,2009-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Robin Hood,1250,978-951-1-23672-6,2009-01-01
"05.1, 2011:1, 82.144051, 84.2, 85.32, 85.32051",,Muumi.,1246,0789-7936,1991-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Minne tytöt kadonneet,1233,978-951-31-5625-1,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Arhippa, Pirkko.",Polku pimeään : jännitysromaani,1229,978-951-883-277-8,2011-01-01
84.2,"Nousiainen, Miika.",Metsäjätti,1228,978-951-1-25534-5,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Larsson, Åsa.",Uhrilahja,1221,978-951-1-25369-3,2012-01-01
84.2,"Kinsella, Sophie.","Soitellaan, soitellaan!",1219,978-951-0-38866-2,2012-01-01
84.2,"Rissanen, Pirjo.",Äitienpäivä,1216,978-951-20-8479-1,2011-01-01
"84.2, 84.2 R","Mustonen, Enni.",Lapinvuokko,1212,978-951-1-24357-1,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Havukainen, Aino.",Veeran keittiöpuuhat,1210,951-1-18221-8,2002-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Läckberg, Camilla.",Merenneito,1197,978-951-20-8353-4,2011-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS, 85","Hallberg, Lin.","Torstaina nähdään, Sinttu",1195,978-951-31-3969-8,2009-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Viikingit tulevat!,1194,951-1-21211-7,2006-01-01
84.2,"Olsson, Linda.",Kaikki hyvä sinussa,1189,978-951-20-8408-1,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Nov, 84.2NOJ","Jokinen, Seppo.",Lyöty mies,1189,978-951-23-5130-5,2009-01-01
"05.1, 67.45051, 67.451051",,Koirat.,1188,1795-780X,2005-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Koirien Kalevala,1184,951-1-12244-4,1992-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Sipilä, Jarkko.",Suljetuin ovin,1183,978-952-5918-75-5,2012-01-01
03,Guinness world records 2012.,Guinness world records 2012,1180,978-951-32-3200-9,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Koiramäen lapset ja näkki,1180,978-951-1-21898-2,2007-01-01
"15, 15 Fan, 85.22, 85.22 KU","Kunnas, Mauri.",Kummallisuuksien käsikirja,1171,978-951-1-25207-8,2011-01-01
84.2,"Pulkkinen, Riikka.",Totta,1170,978-951-1-22965-0,2010-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 85","Rowling, J. K.",Harry Potter ja viisasten kivi,1166,978-951-31-1146-5,1998-01-01
"05.1, 50, 50.1051",,Suomen luonto,1164,0356-0678,1941-01-01
"84.2, 84.2 JÄ, 84.2 JÄN","Roberts, Nora.",Pedon yö,1153,978-951-20-8132-5,2011-01-01
84.2,"Mustonen, Enni.",Kultarikko,1146,978-951-1-26353-1,2012-01-01
"84.2, 85.2, 85.22, 85.22 KU","Havukainen, Aino.",Veera ja menopelit,1145,951-1-16562-3,2000-01-01
"84.2, 84.2 D, 84.2 JÄ","Tuominen, Pirjo.",Silkkipunos,1137,978-951-31-6849-0,2012-01-01
84.2,"Hotakainen, Kari.",Jumalan sana,1128,978-952-234-073-3,2011-01-01
"05.1, 61.051",,Kotimikro.,1128,1795-3138,2004-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Clark, Mary Higgins.",Perinnön varjo,1128,978-951-31-5892-7,2011-01-01
"85.22, 85.22 KU, 85.32","Wieslander, Jujja.",Mimmi Lehmä lukee,1122,978-951-883-257-0,2011-01-01
"84.2, 84.2 H , 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS, 85","Hallberg, Lin.","Hieno hyppy, Sinttu",1122,978-951-31-4921-5,2009-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Suuri seikkailu, Sinttu",1113,978-951-31-5843-9,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Hurjan hauska autokirja,1109,978-951-1-12758-1,1993-01-01
"84.2, 84.2 RO","Steel, Danielle.",Lurjus,1107,978-951-0-37778-9,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän","Jokinen, Seppo.",Hiirileikki,1102,978-951-23-4774-2,2006-01-01
"86.22, 99.1","Mazzarella, Merete.",Ainoat todelliset asiat : vuosi elämästä,1102,978-951-31-6607-6,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Cleeves, Ann.",Kuolonkukkia,1092,978-951-23-5323-1,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Pakkanen, Outi.",Seuralainen,1091,978-951-1-24571-1,2010-01-01
"84.2, 84.2 KU, 84.2F, 85.11, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä liukumäessä,1090,951-882-365-0,2003-01-01
"84.2, 84.2 D, 84.2 JÄ","Adler, Elizabeth.",Monte Carlon jalokivet,1090,978-951-20-8738-9,2012-01-01
"05.1, 37.8, 37.8051",,Kuluttaja : Kuluttajaviraston julkaisu.,1090,1236-0805,1992-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Älä pelkää, Sinttu!",1086,978-951-31-6323-5,2012-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.",Maailman ihanin Sinttu,1084,978-951-31-3968-1,2008-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ","Parvela, Timo.",Ella ja Sampan urotyöt,1083,978-951-31-5929-0,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Nuotio, Anna.","Tuplana, kiitos!",1083,978-952-5918-41-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Wieslander, Jujja.",Lehmä saa laastarin,1083,978-951-882-596-1,2006-01-01
"67, 67.452051, 68, 68.051",,Kodin Pellervo,1083,1456-7210,1999-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja professori Poksupöksyn piinalliset puuhat,1081,951-31-2841-5,2003-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 JÄN","Remes, Matti.",Pako,1065,978-951-31-6280-1,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Joensuu, Matti Yrjänä.",Harjunpää ja rautahuone,1063,978-951-1-24742-5,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Gerritsen, Tess.",Hiljainen tyttö,1063,978-951-1-25718-9,2011-01-01
"05.1, 79, 79.11051, Lainattavat lehdet",,Juoksija : liikkumisen iloa.,1062,0782-4971,1971-01-01
"05.1, 65, 65.051",,Ihana : lehti täynnä ideoita.,1062,1797-2353,2007-01-01
"84.2, 84.2 R, 84.2 RO","Roberts, Nora.",Jotain sinistä,1060,978-951-20-8226-1,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jokinen, Seppo.",Sana sanaa vastaan,1059,951-23-4669-9,2005-01-01
"84.2, 84.2 R, 84.2 RO, 84.2 Vii, 84.2R","Lehtinen, Tuija.",Kolme miestä netissä,1055,978-951-1-24573-5,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Suuri urheilukirja,1054,951-1-07518-7,1988-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Vilpittömässä mielessä,1049,951-23-4424-6,2003-01-01
"84.2, 84.2 R, 84.2 RO","Orkoma, Marja.",Villiruusu 6,1049,978-951-883-217-4,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä rakentaa majan,1047,951-873-558-1,1995-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Jokinen, Seppo.",Kuka sellaista tekisi,1046,978-951-23-5000-1,2008-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Parvela, Timo.",Ella ja Yön ritarit,1043,978-951-31-5588-9,2010-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän, 84.2D","Jokinen, Seppo.",Suurta pahaa,1042,951-23-4530-7,2004-01-01
"05.1, 75, 75.051, 75.7, 75.7051, 78",,Kameralehti,1040,0022-8133,1950-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Cornwell, Patricia.",Kuolleiden satama,1032,978-951-1-25368-6,2011-01-01
"84. 2, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jansson, Anna.",Unissakävelijä,1031,978-951-20-8262-9,2011-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.",Sinttu on paras!,1030,978-951-31-5842-2,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.","Apua, merirosvoja!",1030,951-1-13330-6,1994-01-01
84.2,"Rissanen, Pirjo.",Kamomillasola,1025,978-951-20-8801-0,2012-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja salaisuuksien kammio,1024,951-31-1472-4,1999-01-01
"05.1, 79.4051",,Retki : Finnish outdoor magazine.,1023,1456-8837,1999-01-01
76.051,,Glorian koti.,1020,1455-1284,1996-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Nykänen, Harri.",Pyhä toimitus,1018,978-952-5918-26-7,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä siivoaa kotinsa,1017,978-951-873-703-5,1997-01-01
"84.2, 84.2 RO","Steel, Danielle.",Kelpo nainen,1013,978-951-0-38600-2,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jungstedt, Mari.",Kevään kalpeudessa,1000,978-951-1-24513-1,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Clark, Mary Higgins.",Yksin vain,999,978-951-31-6116-3,2012-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN, 84.2 R","Brown, Sandra.",Nopeita leikkauksia,997,978-951-31-6140-8,2011-01-01
"79.8, 79.8 KU, 85.22, 85.22 KU","Havukainen, Aino.","Tatu ja Patu pihalla : käsikirja kaikille niille, joilla ei ole mitään tekemistä ja niille, jotka ovat jo unohtaneet leikkimisen jalon taidon",996,978-951-1-26553-5,2012-01-01
