Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"05.1, 2012 : 1, 79.37051",,Jääkiekkolehti: Suomen jääkiekkoliiton ja SM-liigan virallinen julkaisu.,2896,1238-0903,1993-01-01
"05.1, 67.3, 67.3051",,Viherpiha.,2886,1236-990X,1994-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja viimeinen tötterö,2837,978-951-31-3899-8,2007-01-01
"05.1, 65.051, 65.4301, 65.43051, KAU",,Kauneimmat käsityöt.,2835,0359-3126,1981-01-01
84.2,"Oksanen, Sofi.",Kun kyyhkyset katosivat,2799,978-952-01-0781-9,2012-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja kuuluisa Kamilla,2758,978-951-31-4998-7,2009-01-01
"05.1, 90.051, HIS",,Historia.,2717,1795-4215,2005-01-01
"05.1, 76, 76.051",,Glorian antiikki.,2710,1238-5654,1995-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Hervantalainen,2676,978-952-5918-71-7,2012-01-01
05.1,,Koululainen : lasten koulu- ja raittiuslehti,2652,0357-2714,1945-01-01
"05.1, 59.051",,Voi hyvin.,2651,0780-1122,1982-01-01
84.2,"Lundberg, Ulla-Lena.",Jää,2644,978-951-851-475-9,2012-01-01
"68.051, 76.1",,Sköna hem.,2605,1401-5013,1996-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2B, 84.2H, 85.12, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja villi kone,2600,951-31-3732-5,2006-01-01
"05.1, 59.6051",,Vauva.,2513,0789-9238,1992-01-01
"05.1, 67.051, 67.6, 67.6051, ERÄ",,Erä.,2512,0356-3464,1977-01-01
"77.4983, 84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12, 85.12 LA ","Nopola, Sinikka.",Risto Räppääjä ja komea Kullervo,2445,951-31-2550-5,2002-01-01
"05.1, 61.051, 67.051, 67.6, 67.6051",,Metsästys ja kalastus.,2420,0026-1629,1912-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä saa isän,2399,978-951-31-5147-8,2011-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 85.12","Nopola, Sinikka.",Risto Räppääjä ja kauhea makkara,2356,951-31-1145-8,1998-01-01
"05.1, 79.81051",,Pelaaja.,2310,1459-2096,2002-01-01
"05.1, 65, 65.051, Lainattavat lehdet",,Burda.,2301,0007-6031,1985-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 85.12, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja Hilpuri Tilli,2299,951-31-3116-5,2004-01-01
"05.1, 50",,Tiede.,2297,1457-9030,2001-01-01
"84.2, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu supersankareina,2253,978-951-1-24541-4,2010-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85, 85.12","Nopola, Sinikka","Hetki lyö, Risto Räppääjä",2229,951-31-0995-X,1997-01-01
"05.1, 82.144051, 85.32051",,Mustanaamio.,2211,0356-6005,1966-01-01
05.1,,Meidän perhe.,2210,1459-9929,2004-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja nukkavieru Nelli,2209,978-951-31-6874-2,2012-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 84.2B, 85.12","Nopola, Sinikka.",Risto Räppääjä ja Nuudelipää,2207,951-31-1478-3,2000-01-01
05.1,,Miss Mix.,2182,1796-7198,2006-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu työn touhussa,2168,951-1-21314-8,2006-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja sitkeä finni,2168,9789513127725,2003-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun avaruusseikkailu,2130,978-951-1-25460-7,2011-01-01
"05.1, 66.051",,Meidän mökki : vapaa-ajan asumisen erikoislehti.,2101,1456-6257,1998-01-01
"85.32, 85.32051",,Tex Willer.,2086,0356-5831,1971-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja pakastaja-Elvi,2080,951-31-2050-3,2001-01-01
"05.1, 65, 65.4, 65.4051, Lainattavat lehdet",,Novita : neulomisen uudet tuulet.,2072,1795-1437,2004-01-01
99.1,"Rajala, Panu.",Lavatähti ja kirjamies : rakkauskertomus,2007,978-951-0-39484-7,2013-01-01
"84.2, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun Suomi,1932,978-951-1-21915-6,2007-01-01
84.2,"Mustonen, Enni.",Kultarikko,1902,978-951-1-26353-1,2012-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu päiväkodissa,1875,978-951-1-19658-7,2004-01-01
"05.1, 62,512, 62.512, 62.512051",,Bike.,1854,1455-1861,1997-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Pakkanen, Outi.",Toinen kerros,1853,978-951-1-26585-6,2012-01-01
"05.1, 82.144051, 85.32, 85.32051",,Hämähäkkimies.,1850,0357-8844,1980-01-01
84.2,"Mustonen, Enni.",Paimentyttö,1847,978-951-1-27207-6,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lehtolainen, Leena.",Paholaisen pennut,1829,978-951-31-6827-8,2012-01-01
84.2,"Kivelä, Anneli.",Outo lintu Katajamäellä,1814,978-951-23-5699-7,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Tuominen, Pirjo.",Silkkipunos,1805,978-951-31-6849-0,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jokinen, Seppo.",Ajomies,1770,978-952-5918-25-0,2011-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun oudot kojeet,1766,951-1-20084-4,2005-01-01
84.2,"Pulkkinen, Riikka.",Vieras,1745,978-951-1-25640-3,2012-01-01
"84.2, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun outo unikirja,1728,978-951-1-22673-4,2008-01-01
"05.1, 79.6051",,Fit.,1726,,2008-01-01
"79.8, 79.8 KU, 85.22, 85.22 KU","Havukainen, Aino.","Tatu ja Patu pihalla : käsikirja kaikille niille, joilla ei ole mitään tekemistä ja niille, jotka ovat jo unohtaneet leikkimisen jalon taidon",1686,978-951-1-26553-5,2012-01-01
85.32051,,W.i.t.c.h.,1636,1458-9036,2002-01-01
"05.1, 65, 65.051",,Ihana : lehti täynnä ideoita.,1625,1797-2353,2007-01-01
"84.2, 84.2 D, 84.2 JÄN","Jungstedt, Mari.",Vaarallinen leikki,1611,978-951-1-26962-5,2013-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Kyrö, Tuomas.",Mielensäpahoittaja ja ruskeakastike,1595,978-951-0-39079-5,2012-01-01
"05.1, 65.051, 79.15051",,Taika : askartelun erikoislehti.,1590,1796-5993,2006-01-01
"84.2, 84.2 RO","Lehtinen, Tuija.",Tuhansien aamujen talo,1589,978-951-1-26735-5,2012-01-01
"05.1, 68.051",,"deko. : sisustus, design, muoti, matkat, ruoka.",1575,1459-7128,2004-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Remes, Ilkka.",Ylösnousemus,1573,978-951-0-39388-8,2012-01-01
84.2,"Rissanen, Pirjo.",Kamomillasola,1572,978-951-20-8801-0,2012-01-01
84.2,"Kettu, Katja.",Kätilö : romaani,1564,978-951-0-38200-4,2011-01-01
"85.22, 85.22 KU","Kunnas, Mauri.",Aarresaari : kunnasmainen tulkinta Robert Louis Stevensonin klassikosta,1560,978-951-1-26442-2,2012-01-01
79.37051,,Pro hockey NHL-magazine.,1525,1457-7844,1997-01-01
"05.1, 40, 40.051",,National geographic : [suomenkielinen painos].,1503,1457-5981,2000-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 LA, 85, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä : erittäin salainen - top secret,1496,978-951-31-4473-9,2008-01-01
"84.2, 85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun oudot aakkoset,1490,978-951-1-23687-0,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Leon, Donna.",Turvasatama,1488,978-951-1-26507-8,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Lehtolainen, Leena.",Rautakolmio,1468,978-951-31-7423-1,2013-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Räätälöity ratkaisu,1457,978-951-23-5305-7,2010-01-01
"84.2, 84.2 D, 84.2 JÄN","Mäki, Reijo.",Sahanpururevolveri : kauneimmat kertomukset,1452,978-951-1-26927-4,2013-01-01
"84.2, 84.2  D, 84.2  JÄN, 84.2 D, 84.2 JÄ, 84.2 JÄN","Mäki, Reijo.",Sheriffi,1446,978-951-1-26321-0,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Tuominen, Pirjo.",Muistatko Marjatan? : jännitysromaani,1444,978-951-31-7364-7,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Nesbø, Jo.",Poliisi,1437,978-951-0-39943-9,2013-01-01
84.2,"Roberts, Nora.",Rakkauden kynnyksellä,1423,978-951-20-8810-2,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Mäki, Reijo.",Intiaani,1420,978-951-1-27390-5,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Sipilä, Jarkko.",Suljetuin ovin,1417,978-952-5918-75-5,2012-01-01
"05.1, 40.7051",,Matkaopas.,1412,1456-419X,1999-01-01
"05.1, 60.7051, 62, 62.58, 68.051, Lainattavat lehdet",,Pienoismalli.,1399,0784-7610,1981-01-01
"05.1, 62.51",,V8-magazine.,1381,0780-2102,1978-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Pakkanen, Outi.",Julma kuu,1378,978-952-5918-70-0,2012-01-01
"84.2, 84.2 RO","Kivelä, Anneli.",Köydenvetoa Katajamäellä,1372,978-951-23-5558-7,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Läckberg, Camilla.",Enkelintekijä,1364,978-951-20-9030-3,2013-01-01
"05.1, 60, 60.051, 62.051, 66, 66.051, TM",,TM Rakennusmaailma.,1358,1459-1839,2003-01-01
"84.2, 84.2 D, 84.2 JÄN","Ropponen, Markku.",Kuhala & jokimurhat,1346,978-951-31-7130-8,2013-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12","Nopola, Sinikka.",Risto Räppääjä ja kaksoisolento,1336,978-951-31-7348-7,2013-01-01
84.2,"Steel, Danielle.",Sydämen asioita,1317,978-951-0-39518-9,2013-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU, 85.32","Havukainen, Aino.",Veera ja maatalon eläimet,1311,951-1-17448-7,2001-01-01
"84.2, 84.2 D, 84.2 JÄN, Jännitys","Sipilä, Jarkko.",Valepoliisi,1309,978-952-289-048-1,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Koiramäen lapset ja näkki,1306,978-951-1-21898-2,2007-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jansson, Anna.",Murhan alkemia,1302,978-951-20-8783-9,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Herra Hakkaraisen seitsemän ihmettä,1295,978-951-1-22929-2,2008-01-01
"05.1, 65, 65.051",,Askartelulehti.,1294,1456-4769,1998-01-01
"05.1, 67.45051, 67.451051",,Koirat.,1292,1795-780X,2005-01-01
"01.5, 05.1, 62, 62.5, 62.5051, MOB",,Mobilisti : lehti vanhojen ajoneuvojen harrastajille.,1279,0783-4616,1982-01-01
84.2,"Hosseini, Khaled.",Ja vuoret kaikuivat,1276,978-951-1-27399-8,2013-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22 Tip","Havukainen, Aino.",Tatu ja Patu Helsingissä,1273,951-1-18984-0,2003-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Robin Hood,1260,978-951-1-23672-6,2009-01-01
84.2,"Hämeen-Anttila, Virpi.",Tapetinvärinen : toisten muistelmia,1256,978-951-1-26448-4,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Läckberg, Camilla.",Majakanvartija,1256,978-951-20-8808-9,2012-01-01
"66, 66.051, TAL",,Talo & koti : asumisen erikoislehti.,1250,1457-3911,2000-01-01
84.2,"Pättikangas, Eira.",Vuodet kuin unta,1247,978-951-23-5618-8,2013-01-01
03,Guinness world records 2013.,Guinness world records 2013,1246,978-951-32-3486-7,2012-01-01
"84.2, 84.2 D, 84.2 DEK","Mankell, Henning.",Haudattu,1244,978-951-1-27763-7,2013-01-01
84.2,"Mustonen, Enni.",Jääleinikki,1236,978-951-1-25423-2,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Nykänen, Harri.",Susiraja,1236,978-952-5918-92-2,2012-01-01
84.2,"Ollikainen, Aki.",Nälkävuosi,1234,978-952-234-089-4,2012-01-01
"84.2, 85.22, 85.22 KU","Kunnas, Mauri.",Hurja-Harri ja pullon henki,1232,978-951-1-24540-7,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Larsson, Åsa.",Uhrilahja,1230,978-951-1-25369-3,2012-01-01
61.4,,Samsung [Esine] : NP200B.,1204,,2012-01-01
"84.2, 84.2 RO","Roberts, Nora.",Avaimet onneen,1203,978-951-20-8809-6,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Arhippa, Pirkko.",Kihlaava kuolema : jännitysromaani,1196,978-951-883-407-9,2012-01-01
84.2,"Ala-Harja, Riikka.",Maihinnousu : romaani,1189,978-952-01-0805-2,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Brown, Dan.",Inferno,1184,978-951-0-40007-4,2013-01-01
"05.1, 79, 79.11051, Lainattavat lehdet",,Juoksija : liikkumisen iloa.,1179,0782-4971,1971-01-01
84.2,"Oksanen, Sofi.",Puhdistus : romaani,1169,978-951-0-33973-2,2008-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lehtolainen, Leena.",Oikeuden jalopeura,1167,978-951-31-6219-1,2011-01-01
"05.1, 82.144051, 84.2, 85.32, 85.32051",,Muumi.,1163,0789-7936,1991-01-01
"05.1, 50, 50.1051",,Suomen luonto,1158,0356-0678,1941-01-01
"05.1, 67, 67.452051, 68.051",,Kodin Pellervo,1158,1456-7210,1999-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu Helsingissä,1153,978-951-1-26284-8,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, L84.2","Parvela, Timo.",Ella ja kadonnut karttakeppi,1153,978-951-31-5996-2,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Parvela, Timo.",Ella ja Yön ritarit,1152,978-951-31-5588-9,2010-01-01
"85.22, 85.22 KU","Nordqvist, Sven.",Viiru muuttaa,1147,978-951-31-6844-5,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Sandberg, Timo.",Mustamäki : jännitysromaani,1143,978-951-23-5693-5,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Viikingit tulevat!,1142,951-1-21211-7,2006-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS, 85","Hallberg, Lin.","Hieno hyppy, Sinttu",1135,978-951-31-4921-5,2009-01-01
84.2,"Kähkönen, Sirpa.",Hietakehto : romaani,1129,978-951-1-26320-3,2012-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Kettu, Katja.",Piippuhylly : novelleja,1129,978-951-0-39392-5,2013-01-01
"59, 84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Havukainen, Aino.",Veera lääkärissä,1127,9789511160182,1999-01-01
"84.2, 84.2 D, 84.2 DEK","Jansson, Anna.",Haudan takaa,1123,978-951-20-9121-8,2013-01-01
"84.2, 84.2  HELP, 84.2 H, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Tallilla tapahtuu, Sinttu",1120,978-951-31-7024-0,2013-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Jokinen, Seppo.",Viha on paha vieras,1120,978-951-23-4885-5,2007-01-01
,,Tom & Jerry.,1119,0357-6493,1980-01-01
"84.2, 84.2 D, 84.2 JÄN","Sipilä, Jarkko.",Rahan metsästäjät,1119,978-952-289-046-7,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Havukainen, Aino.",Veeran keittiöpuuhat,1116,951-1-18221-8,2002-01-01
84.2,"Härkönen, Anna-Leena.",Laskeva neitsyt ja muita kirjoituksia,1115,978-951-1-26123-0,2012-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS, 85","Hallberg, Lin.","Torstaina nähdään, Sinttu",1104,978-951-31-3969-8,2009-01-01
"84.2, 85.22, 85.22 KU","Nopola, Sinikka.","Heinähattu, Vilttitossu ja Kalju-Koponen",1102,978-951-31-5943-6,2012-01-01
"84.2, 84.2 D","Adler, Elizabeth.",Barcelonan katujen kuiske,1097,978-951-20-9123-2,2013-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Parvela, Timo.",Ella ja Äf Yksi,1085,978-951-31-4315-2,2008-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Koirien Kalevala,1085,951-1-12244-4,1992-01-01
"84.2, 85.2, 85.22, 85.22 KU","Havukainen, Aino.",Veera ja menopelit,1083,951-1-16562-3,2000-01-01
84.2,"Rowling, J. K.",Paikka vapaana,1082,978-951-1-26954-0,2012-01-01
84.2,"Harjula, Kristiina.",Pispalan kiviä,1082,978-951-23-5570-9,2013-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja professori Poksupöksyn piinalliset puuhat,1082,951-31-2841-5,2003-01-01
76.051,,Glorian koti.,1072,1455-1284,1996-01-01
"05.1, 61.051",,Kotimikro.,1068,1795-3138,2004-01-01
05.1,,Trendi.,1067,0786-9282,1989-01-01
03,Guinness world records 2012.,Guinness world records 2012,1066,978-951-32-3200-9,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Suuri urheilukirja,1063,951-1-07518-7,1988-01-01
"84.2, 84.2 RO","Steel, Danielle.",Päivä kerrallaan,1063,978-951-0-38874-7,2012-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.",Maailman ihanin Sinttu,1060,978-951-31-3968-1,2008-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Kyrö, Tuomas.",Mielensäpahoittaja,1060,978-951-0-36626-4,2010-01-01
84.2,"Harris, Joanne.",Persikoiden aikaan,1059,978-951-1-26932-8,2013-01-01
"82.144051, 85.32051",,Aku Ankka ekstra.,1052,1799-1501,2008-01-01
"05.1, 75, 75.051, 75.7, 75.7051, KAM",,Kameralehti,1051,0022-8133,1950-01-01
"84.2, 84.2  J, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Sipilä, Jarkko.",Muru,1050,978-952-5918-24-3,2011-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Älä pelkää, Sinttu!",1050,978-951-31-6323-5,2012-01-01
"05.1, 82.144051, 84.2, 85.32051",,Maailman vahvin nalle.,1043,0355-9173,1973-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Suuri seikkailu, Sinttu",1042,978-951-31-5843-9,2011-01-01
"84.2, 84.2 JÄ","Roberts, Nora.",Valkokankaan varjot,1040,978-951-20-8411-1,2012-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella ja jättipotti,1038,978-951-31-4943-7,2009-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.",Sinttu on paras!,1036,978-951-31-5842-2,2011-01-01
"85.22, 85.22 KU, 85.32","Wieslander, Jujja.",Mimmi Lehmä lukee,1034,978-951-883-257-0,2011-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 85","Rowling, J. K.",Harry Potter ja viisasten kivi,1034,978-951-31-1146-5,1998-01-01
"05.01, 05.1, 61.051",,MB.,1033,2323-783X,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Sten, Viveca.",Sisäpiirissä,1027,978-951-0-39674-2,2013-01-01
"84.2, 84.2 Novellit, 84.2 RO","Kelly, Cathy.",Yksin ja yhdessä,1027,978-951-20-8805-8,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Kepler, Lars.",Tulitodistaja : rikosromaani,1027,978-951-31-6651-9,2012-01-01
"15, 15 Fan, 85.22, 85.22 KU","Kunnas, Mauri.",Kummallisuuksien käsikirja,1027,978-951-1-25207-8,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 2. osa, Roimien Roboräkien kosto",1021,951-31-3148-3,2004-01-01
"84.2, 84.2 HELP, 84.2 HELPPO, 85.32, 85.32 H","Pilkey, Dav.",Supervaippavauvan seikkailut : Erno Parran ja Huuko Hollinsin ensimmäinen sarjakuvaromaani,1021,978-951-31-7145-2,2013-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",RR kuin Risto Räppääjä,1020,978-951-31-5718-0,2010-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.","Kiva leiri, Sinttu",1017,978-951-31-5250-5,2010-01-01
"05.1, 37.8051",,Kuluttaja : Kuluttajaviraston julkaisu.,1016,1236-0805,1992-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatun ja Patun kummat keksinnöt kautta aikojen,1015,978-951-1-27544-2,2013-01-01
84.2,"Havaste, Paula.",Kolme käskyä,1013,978-951-20-9166-9,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä saa laastarin,1010,978-951-882-596-1,2006-01-01
"84.2, 84.2 SOTA","Tuuri, Antti.",Rauta-antura : romaani,1008,978-951-1-25969-5,2012-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Yli esteiden, Sinttu!",1001,978-951-31-6322-8,2012-01-01
"84.2, 84.2 RO","Lehtinen, Tuija.",Miss Seinäruusu,999,978-951-1-25511-6,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Nov, 84.2NOJ","Jokinen, Seppo.",Lyöty mies,996,978-951-23-5130-5,2009-01-01
"84.2, 84.2 D, 84.2 JÄN","Rönkä, Matti.",Levantin kyy,988,978-951-20-9310-6,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Gerritsen, Tess.",Eloonjäänyt,987,978-951-1-26784-3,2012-01-01
