"","Hyllypaikka","Tekijä","Nimeke","Lainojen.lkm.","ISBN.ISSN","Julkaisuvuosi","Vuosi"
"100"," 65.424051","Nesbø, Jo.","Poliisi",1437,"978-951-0-39943-9","2012","2013"
"101"," 65.43051","Hallberg, Lin.","Torstaina nähdään, Sinttu",1195,"978-951-31-3969-8","2001","2012"
"102"," 65.43051","Pättikangas, Eira.","Vuodet kuin unta",1247,"978-951-23-5618-8","01","2013"
"103"," 66","Marklund, Liza.","Panttivanki",1802,"978-951-1-25911-4","01","2012"
"104"," 66","McCall Smith, Alexander.","Häähuumaa lauantaina",866,"978-951-1-26228-2","01","2013"
"105"," 66.051","Havukainen, Aino.","Tatun ja Patun outo unikirja",1728,"978-951-1-22673-4","01","2013"
"106"," 66.051","Jokinen, Seppo.","Ajomies",2714,"978-952-5918-25-0","01","2012"
"107"," 66.051","Knutsson, Gösta.","Pekka Töpöhäntä urheilukilpailuissa",950,"951-20-3974-5","01","2012"
"108"," 66.051","Nopola, Sinikka.","Risto Räppääjä ja kuuluisa Kamilla",2758,"978-951-31-4998-7","2012","2013"
"109"," 66.051","Nordqvist, Sven.","Viiru ja Pesonen telttaretkellä",855,"951-31-0098-7","2004","2012"
"110"," 66.051","Pilkey, Dav.","Supervaippavauvan seikkailut : Erno Parran ja Huuko Hollinsin ensimmäinen sarjakuvaromaani",1021,"978-951-31-7145-2","01","2013"
"111"," 66.3","Lehtinen, Tuija.","Miss Seinäruusu",1776,"978-951-1-25511-6","2011","2012"
"112"," 67","Kunnas, Mauri.","Majatalon väki ja kaappikellon kummitukset",775,"951-1-14424-3","2012","2013"
"113"," 67","Lehtolainen, Leena.","Rautakolmio",1468,"978-951-31-7423-1","01","2013"
"114"," 67","Mäki, Reijo.","Mustasiipi",1583,"978-951-1-25495-9","01","2012"
"115"," 67.051","Jansson, Anna.","Haudan takaa",1123,"978-951-20-9121-8","2008","2013"
"116"," 67.3","Kunnas, Mauri.","Herra Hakkaraisen seitsemän ihmettä",1295,"978-951-1-22929-2","01","2013"
"117"," 67.3","Kunnas, Mauri.","Hurjan hauska autokirja",1109,"978-951-1-12758-1","01","2012"
"118"," 67.3","Remes, Ilkka.","Teräsleijona",1567,"978-951-0-38419-0","2010","2012"
"119"," 67.3051","Jokinen, Seppo.","Räätälöity ratkaisu",1457,"978-951-23-5305-7","01","2013"
"120"," 67.45","Kivelä, Anneli.","Köydenvetoa Katajamäellä",1372,"978-951-23-5558-7","01","2013"
"121"," 67.45051","Cussler, Clive.","Paholaisen portti",829,"978-951-0-39517-2","01","2013"
"122"," 67.45051","Nopola, Sinikka.","Risto Räppääjä : erittäin salainen - top secret",1667,"978-951-31-4473-9","01","2012"
"123"," 67.45051","Sipilä, Jarkko.","Seinää vasten",743,"978-951-20-7810-3","01","2012"
"124"," 67.452051","Sanderhage, Per.","Rasmus Nalle ja pomppusaappaat",497,"978-952-16-1017-2","2011","2012"
"125"," 67.6","Havukainen, Aino.","Veeran keittiöpuuhat",1210,"951-1-18221-8","01","2012"
"126"," 67.6","Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 2. osa, Roimien Roboräkien kosto",978,"951-31-3148-3","01","2012"
"127"," 67.6","Sandberg, Timo.","Mustamäki : jännitysromaani",1143,"978-951-23-5693-5","2001","2013"
"128"," 67.6051","Hallberg, Lin.","Tallilla tapahtuu, Sinttu",1120,"978-951-31-7024-0","01","2013"
"129"," 68","Harjanne, Maikki.","Minttu saa oman koiran",690,"978-951-1-21800-5","01","2012"
"130"," 68","Havukainen, Aino.","Tatun ja Patun avaruusseikkailu",2085,"978-951-1-25460-7","2003","2012"
"131"," 68","Kettu, Katja.","Kätilö : romaani",1564,"978-951-0-38200-4","01","2013"
"132"," 68.051","Collins, Suzanne.","Nälkäpeli. Matkijanärhi",803,"978-951-0-35830-6","2010","2012"
"133"," 68.051","Härkönen, Anna-Leena.","Onnen tunti",874,"978-951-1-25272-6","01","2013"
"134"," 68.051","Havukainen, Aino.","Tatu ja Patu supersankareina",2253,"978-951-1-24541-4","01","2013"
"135"," 68.051","Havukainen, Aino.","Tatu ja Patu supersankareina",2306,"978-951-1-24541-4","01","2012"
"136"," 68.051","Mäki, Reijo.","Sheriffi",1466,"978-951-1-26321-0","01","2012"
"137"," 68.051","Nopola, Tiina.","Siiri ja kauhea kummitus",775,"978-951-31-5689-3","01","2013"
"138"," 68.051","Tervo, Jari.","Layla : romaani",2275,"978-951-0-38277-6","01","2012"
"139"," 68.051","Utrio, Kaari.","Oppinut neiti",1614,"978-952-5330-41-0","2005","2012"
"140"," 69.051","Nopola, Sinikka.","Risto Räppääjä ja nukkavieru Nelli",2209,"978-951-31-6874-2","01","2013"
"141"," 75","Slaughter, Karin.","Pettävä hiljaisuus",710,"978-951-31-6037-1","2010","2013"
"142"," 75.051","Brunk Holmqvist, Karin.","Pieni potenssipuoti",654,"978-952-5637-54-0","2011","2012"
"143"," 75.7","Cousins, Lucy.","Maisan kaupunkiloma",709,"978-951-0-37744-4","01","2013"
"144"," 75.7051","Sinisalo, Johanna.","Enkelten verta",654,"978-951-851-414-8","01","2012"
"145"," 76","Jungstedt, Mari.","Kevään kalpeudessa",1000,"978-951-1-24513-1","01","2012"
"146"," 76","Larsson, Åsa.","Uhrilahja",1230,"978-951-1-25369-3","2013","2013"
"147"," 76.051","Havukainen, Aino.","Tatun ja Patun Suomi",1969,"978-951-1-21915-6","01","2012"
"148"," 76.051","Nopola, Sinikka.","Risto Räppääjä ja pakastaja-Elvi",2080,"951-31-2050-3","1997","2013"
"149"," 76.1","Nuotio, Anna.","Tuplana, kiitos!",1083,"978-952-5918-41-0","01","2012"
"150"," 77.4","Arhippa, Pirkko.","Kihlaava kuolema : jännitysromaani",596,"978-951-883-407-9","01","2012"
"151"," 77.49","Hill, Eric.","Hyvää yötä, Puppe",620,"978-951-1-23642-9","2013","2013"
"152"," 77.49","Kepler, Lars.","Paganini ja paholainen : rikosromaani",552,"978-951-31-5496-7","01","2013"
"153"," 77.4983","Dillon, Lucy.","Eksyneiden sydänten koti",497,"978-951-20-8239-1","01","2013"
"154"," 77.4983","Korhonen, Wexi.","Kujanjuoksu Keniassa : escape from Hemingway's way",595,"978-952-67607-0-4","2007","2012"
"155"," 77.4983","Sipilä, Jarkko.","Seinää vasten",586,"978-951-20-7810-3","01","2013"
"156"," 78","Wieslander, Jujja.","Lehmä liukumäessä",1090,"951-882-365-0","01","2012"
"157"," 78.81051","Nopola, Sinikka.","Risto Räppääjä ja sitkeä finni",2168,"9789513127725","01","2013"
"158"," 78.891051","Adler, Elizabeth.","Monte Carlon jalokivet",1090,"978-951-20-8738-9","2011","2012"
"159"," 79.051","Rowling, J. K.","Harry Potter ja viisasten kivi",1166,"978-951-31-1146-5","01","2012"
"160"," 79.1051","Camilleri, Andrea.","Hämähäkin kärsivällisyys",541,"978-951-0-38867-9","2000","2013"
"161"," 79.1051","Nopola, Sinikka.","Risto Räppääjä ja Nuudelipää [Äänite]",518,"951-31-3514-4","01","2012"
"162"," 79.11051","Hill, Eric.","Puppe mummolassa",680,"951-1-14401-4","01","2012"
"163"," 79.11051","Kallioniemi, Tuula.","Aaveita ja avaruusolentoja",785,"978-951-1-26326-5","01","2013"
"164"," 79.15051","Lehtinen, Tuija.","Tuhansien aamujen talo",1589,"978-951-1-26735-5","01","2013"
"165"," 79.15051","Nopola, Sinikka.","Risto Räppääjä ja kuuluisa Kamilla [Äänite]",618,"978-951-31-5081-5","01","2012"
"166"," 79.15051","Nopola, Sinikka.","Risto Räppääjä ja viimeinen tötterö",2837,"978-951-31-3899-8","01","2013"
"167"," 79.15051","Nopola, Sinikka.","Risto Räppääjä ja viimeinen tötterö",3089,"978-951-31-3899-8","01","2012"
"168"," 79.37051","Jansson, Anna.","Murhan alkemia",1302,"978-951-20-8783-9","01","2013"
"169"," 79.6051","Holt, Anne.","Kasvoton tuomio",848,"978-951-20-8170-7","01","2012"
"170"," 79.6051","Wieslander, Jujja.","Lehmä siivoaa kotinsa",953,"978-951-873-703-5","01","2013"
"171"," 79.8","","Älä lue pimeässä : 210 karmivaa tarinaa",619,"978-951-1-25132-3","01","2013"
"172"," 79.8 KU","Hallberg, Lin.","Eppu tulee taloon",953,"978-951-31-6496-6","01","2013"
"173"," 79.8 KU","Tison, Annette.","Barbapapan puu",637,"978-951-1-21878-4","1991","2012"
"174"," 79.81051","Läckberg, Camilla.","Majakanvartija",950,"978-951-20-8808-9","2008","2012"
"175"," 79.81051","Nopola, Sinikka.","Risto Räppääjä ja pakastaja-Elvi",2292,"951-31-2050-3","2000","2012"
"176"," 82.144051","Edwardson, Åke.","Joudu jo sieluni",772,"978-952-01-0653-9","01","2012"
"177"," 82.144051","Hämeen-Anttila, Virpi.","Railo : romaani",1287,"978-951-1-25510-9","2012","2012"
"178"," 82.144051","Hayden, Torey.","Viattomat",1535,"978-951-1-26021-9","01","2012"
"179"," 82.144051","Knutsson, Gösta.","Pekka Töpöhäntä Amerikassa",802,"951-20-3981-8","01","2012"
"180"," 82.144051","Kyrö, Tuomas.","Mielensäpahoittaja",1060,"978-951-0-36626-4","01","2013"
"181"," 82.144051","Nopola, Sinikka.","Risto Räppääjä ja kaksoisolento",1336,"978-951-31-7348-7","01","2013"
"182"," 82.144051","Nopola, Sinikka.","Risto Räppääjä ja komea Kullervo",2445,"951-31-2550-5","01","2013"
"183"," 82.144051","Nopola, Sinikka.","Risto Räppääjä saa isän",2510,"978-951-31-5147-8","01","2012"
"184"," 82.144051","Nordqvist, Sven.","Viiru ja Pesonen telttaretkellä",779,"951-31-0098-7","01","2013"
"185"," 84.2","","Risto Räppääjä [Videotallenne].",651,"6420201176146","01","2012"
"186"," 84.2","Adams, Simon.","Titanic",504,"978-951-32-3156-9","01","2013"
"187"," 84.2","Blædel, Sara.","Nimimerkki Prinsessa",755,"978-951-23-5544-0","01","2013"
"188"," 84.2","Brown, Dan.","Kadonnut symboli",618,"978-951-0-31919-2","01","2012"
"189"," 84.2","Chamberlain, Diane.","Valheiden takaa",673,"978-951-0-39100-6","2010","2012"
"190"," 84.2","Coben, Harlan.","Ruma totuus",657,"978-951-0-38570-8","01","2012"
"191"," 84.2","Dahl, Kjell Ola.","Hyiseen veteen",616,"978-952-01-0728-4","2010","2013"
"192"," 84.2","Duddle, Jonny.","Merirosvoja naapurissa : tapaa mainio Puu-Jalkasten perhe!",514,"978-951-23-5516-7","1998","2012"
"193"," 84.2","Fine, Anne.","Perjantaiyllätys",490,"978-951-883-216-7","01","2012"
"194"," 84.2","Hallberg, Lin.","Hieno hyppy, Sinttu",1135,"978-951-31-4921-5","01","2013"
"195"," 84.2","Hill, Eric.","Puppe sirkuksessa",666,"951-1-09034-8","01","2012"
"196"," 84.2","Impey, Rose.","Piraatti-Pete ja pullopostin arvoitus",537,"978-951-883-058-3","01","2012"
"197"," 84.2","James, Peter.","Kuoleman kanssa ei kujeilla",524,"978-952-492-387-3","01","2012"
"198"," 84.2","Kanto, Anneli.","Vilma Virtanen ja uimataito",700,"978-951-23-5291-3","2012","2013"
"199"," 84.2","Kinney, Jeff.","Neropatin päiväkirja. Greg Heffleyn julkaisu 2,Isoveli isottelee :",594,"978-951-0-36036-1","2013","2013"
"200"," 84.2","Kivelä, Anneli.","Outo lintu Katajamäellä",1814,"978-951-23-5699-7","01","2013"
"201"," 84.2","Kunnas, Mauri.","Aarresaari : kunnasmainen tulkinta Robert Louis Stevensonin klassikosta",1560,"978-951-1-26442-2","2013","2013"
"202"," 84.2","Kunnas, Mauri.","Herra Hakkaraisen aakkoset",585,"951-1-17427-4","01","2013"
"203"," 84.2","Luhtanen, Sari.","Kaikkea kaunista",810,"978-951-31-6599-4","2012","2012"
"204"," 84.2","Nopola, Sinikka.","Heinähattu, Vilttitossu ja tanssiva konstaapeli",482,"951-31-2818-0","2012","2013"
"205"," 84.2","Rönnbacka, Christian.","Operaatio Troijalainen",509,"978-952-5637-71-7","2005","2013"
"206"," 84.2","Roslund, Anders.","Tyttö katujen alta",546,"978-951-0-34288-6","01","2012"
"207"," 84.2","Snellman, Anja.","Ivana B",488,"978-952-234-108-2","01","2012"
"208"," 84.2","Stine, R. L.","Syvyyksien syylä",474,"978-951-0-34438-5","01","2013"
"209"," 84.2","Theorin, Johan.","Verikallio",506,"978-951-31-5891-0","2009","2012"
"210"," 84.2","Tison, Annette.","Barbapapan teatteri",578,"978-951-1-22417-4","01","2013"
"211"," 84.2","Webster, Sheryl.","Nipsu-hiiren kaulaliina",502,"978-951-23-5269-2","01","2012"
"212"," 84.2  D","James, P. D.","Murhaajan mieli",862,"978-951-1-24834-7","01","2012"
"213"," 84.2  Help","Wennström, Annica.","Lapinkylä : sukutarina",549,"978-952-5637-34-2","01","2012"
"214"," 84.2  HELP","Dillon, Lucy.","Uuden onnen jäljillä",748,"978-951-20-8657-3","01","2013"
"215"," 84.2  HELP","Jokinen, Seppo.","Koskinen ja kreikkalainen kolmio",631,"951-23-4089-5","01","2013"
"216"," 84.2  J","Nopola, Tiina.","Siiri ja yläkerran Onni",706,"951-31-2816-4","2011","2013"
"217"," 84.2  JÄN","Pilkey, Dav.","Kapteeni Kalsari ja puhuvat pöntöt",897,"951-31-2381-2","01","2013"
"218"," 84.2 D","Akhtar, Ayad.","Appelsiininkuorten katu",479,"978-951-1-25286-3","01","2013"
"219"," 84.2 D","Aronen, Eeva-Kaarina.","Kallorumpu",495,"978-951-851-413-1","2011","2012"
"220"," 84.2 D","Beecroft, Simon.","Lego Star wars kuvasanakirja",573,"978-951-0-38846-4","01","2013"
"221"," 84.2 D","Bergen, Lara.","Lumoavat ratsut",513,"978-951-32-2491-2","2008","2012"
"222"," 84.2 D","Bergström, Gunilla.","Mikko Mallikas panee töpinäksi",579,"978-951-31-0894-6","01","2012"
"223"," 84.2 D","Casey, Jo.","Prinsessojen lumottu maailma",501,"978-951-32-3199-6","01","2012"
"224"," 84.2 D","Child, Lee.","Epäilty",486,"978-951-23-5542-6","01","2012"
"225"," 84.2 D","Clark, Mary Higgins.","Murha sydämellä",615,"978-951-31-4528-6","2012","2012"
"226"," 84.2 D","Collins, Suzanne.","Nälkäpeli. Vihan liekit",597,"978-951-0-35831-3","01","2012"
"227"," 84.2 D","Connelly, Michael.","Täyskäännös",860,"978-951-20-8396-1","01","2012"
"228"," 84.2 D","Cornwell, Patricia.","Valokeilassa : Kay Scarpettan tutkimuksia",566,"978-951-1-24529-2","01","2012"
"229"," 84.2 D","Cousins, Lucy.","Maisa käy museossa",505,"978-951-0-33987-9","01","2012"
"230"," 84.2 D","Cousins, Lucy.","Maisa menee päiväkotiin",629,"978-951-0-35049-2","01","2013"
"231"," 84.2 D","Donoghue, Emma.","Huone",851,"978-951-31-6222-1","01","2012"
"232"," 84.2 D","Edwardson, Åke.","Talo maailman laidalla",525,"978-952-01-0867-0","2013","2013"
"233"," 84.2 D","Eriksson, Kjell.","Julmien tähtien alla",525,"978-952-5410-66-2","01","2012"
"234"," 84.2 D","Forsman, Tiina.","Annikki Nissinen selvittää murhan",513,"978-951-23-5541-9","1996","2013"
"235"," 84.2 D","Fossum, Karin.","Minä näen pimeässä",937,"978-951-0-39012-2","2010","2012"
"236"," 84.2 D","Gerritsen, Tess.","Hiljainen tyttö",661,"978-951-1-25718-9","2013","2013"
"237"," 84.2 D","Gideon, Melanie.","Vaimo 22",555,"978-951-20-8787-7","2012","2013"
"238"," 84.2 D","Goodhart, Pippa.","Jojon syntymäpäivä",683,"951-882-517-3","01","2013"
"239"," 84.2 D","Green, Jane.","Vuosi maalla",746,"978-951-23-5461-0","01","2013"
"240"," 84.2 D","Hallberg, Lin.","Aprillia, Sinttu",884,"978-951-31-5249-9","01","2013"
"241"," 84.2 D","Harry Potter and the deathly hallows.","Harry Potter ja kuoleman varjelukset. Osa 2 [Videotallenne] = Harry Potter and the deathly hallows. Part 2",590,"5051895082447","01","2012"
"242"," 84.2 D","Havaste, Paula.","Kaksi rakkautta",635,"978-951-20-8206-3","01","2013"
"243"," 84.2 D","Havaste, Paula.","Yhden toivon tie",735,"978-951-20-8977-2","01","2013"
"244"," 84.2 D","Hill, Eric.","Puppe ja yllätyslahja",610,"978-951-1-24199-7","01","2012"
"245"," 84.2 D","Hill, Eric.","Puppe leipoo",564,"951-1-13385-3","2012","2012"
"246"," 84.2 D","Hill, Eric.","Puppe mummolassa",598,"951-1-14401-4","01","2013"
"247"," 84.2 D","Holt, Anne.","Kasvoton tuomio",581,"978-951-20-8170-7","2013","2013"
"248"," 84.2 D","Hotakainen, Kari.","Ihmisen osa",535,"978-952-234-021-4","01","2012"
"249"," 84.2 D","Hotakainen, Kari.","Luonnon laki",902,"978-952-234-185-3","2012","2013"
"250"," 84.2 D","Hovden, Magne.","Saamelandia",498,"978-951-1-25284-9","01","2012"
"251"," 84.2 D","Impey, Rose.","Piraatti-Pete ja aarrekartta",477,"978-951-883-091-0","2011","2013"
"252"," 84.2 D","Impey, Rose.","Piraatti-Pete ja varastettu aarre",488,"978-951-883-150-4","2008","2013"
"253"," 84.2 D","Isokallio, Kalle.","Aunen ketjureaktio",482,"978-951-31-7426-2","01","2013"
"254"," 84.2 D","Jacobs, Kate.","Lohturuokaa",897,"978-951-20-8530-9","01","2012"
"255"," 84.2 D","Jalo, Merja.","Jesse fanikoira",475,"978-951-0-37722-2","01","2013"
