Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2 D,"Lehtolainen, Leena.",Rautakolmio,978-951-31-7423-1,2013,2155
85.22,"Havukainen, Aino.",Tatun ja Patun Suomi,978-951-1-21915-6,2007,2115
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja pakastaja-Elvi,951-31-2050-3,2001,2065
84.2,"Mustonen, Enni.",Paimentyttö,978-951-1-27207-6,2013,2064
84.2,"Pakkanen, Outi.",Rakastaja,978-951-1-27363-9,2013,2046
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja nukkavieru Nelli,978-951-31-6874-2,2012,2019
84.2,"Kinnunen, Tommi.",Neljäntienristeys,978-951-0-40382-2,2014,1974
84.2,"Kivelä, Anneli.",Valoa ja varjoa Katajamäellä,978-951-23-5798-7,2014,1909
84.2,"Mustonen, Enni.",Lapsenpiika,978-951-1-27582-4,2014,1881
84.2,"Jungstedt, Mari.",Neljäs uhri,978-951-1-26963-2,2014,1873
84.2,"Marklund, Liza.",Ajojahti,978-951-1-26142-1,2013,1846
84.2,"Pulkkinen, Riikka.",Iiris Lempivaaran levoton ja painava sydän,978-951-1-27833-7,2014,1845
85.22,"Havukainen, Aino.",Tatun ja Patun oudot kojeet,951-1-20084-4,2005,1801
84.2,"Jokinen, Seppo.",Hervantalainen,978-952-5918-71-7,2012,1799
85.22,"Havukainen, Aino.",Tatun ja Patun oudot aakkoset,978-951-1-23687-0,2009,1746
85.22,"Havukainen, Aino.",Tatun ja Patun outo unikirja,978-951-1-22673-4,2008,1725
84.2 D,"Tuominen, Pirjo.",Muistatko Marjatan? : jännitysromaani,978-951-31-7364-7,2013,1682
84.2,"Roberts, Nora.",Ovi sydämeen,978-951-20-8811-9,2014,1654
84.2,"Lehtinen, Tuija.",Morsiuskamari,978-951-1-27361-5,2013,1637
79.8,"Havukainen, Aino.","Tatu ja Patu pihalla : käsikirja kaikille niille, joilla ei ole mitään tekemistä ja niille, jotka ovat jo unohtaneet leikkimisen jalon taidon",978-951-1-26553-5,2012,1601
84.2,"Hotakainen, Kari.",Luonnon laki,978-952-234-185-3,2013,1565
84.2,"Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",978-951-0-40762-2,2014,1512
85.22,"Havukainen, Aino.",Tatu ja Patu Helsingissä,978-951-1-26284-8,2012,1508
84.2,"Nopola, Sinikka.",Risto Räppääjä : erittäin salainen - top secret,978-951-31-4473-9,2008,1483
84.2,"Westö, Kjell.",Kangastus 38,978-951-1-27403-2,2013,1482
84.2,"Tuominen, Pirjo.","Toinen silmä päivä, toinen yö : jännitysromaani",978-951-31-7884-0,2014,1478
84.2,"Leon, Donna.",Pedon palkka,978-951-1-27869-6,2014,1459
84.2,"Holt, Anne.",Kuollut kulma,978-951-20-9271-0,2013,1439
84.2,"Pakkanen, Outi.",Marius,978-952-289-137-2,2014,1434
84.2,"Läckberg, Camilla.",Enkelintekijä,978-951-20-9030-3,2013,1432
84.2,"Mäki, Reijo.",Cowboy,978-951-1-28217-4,2014,1418
84.2,"Kivelä, Anneli.",Outo lintu Katajamäellä,978-951-23-5699-7,2013,1395
84.2,"Remes, Ilkka.",Omertan liitto,978-951-0-39874-6,2013,1378
84.2,"Nopola, Sinikka.","Likka, äite ja rouva Obama : episodiromaani",978-951-0-39927-9,2013,1368
84.2,"Jokinen, Seppo.",Ajomies,978-952-5918-25-0,2011,1358
84.2 D,"Arhippa, Pirkko.",Tii taa Taneli : jännitysromaani,978-951-883-529-8,2013,1354
84.2,"Lindgren, Minna.",Ehtoolehdon pakolaiset,978-951-851-584-8,2014,1341
85.32 H,"Pilkey, Dav.",Supervaippavauvan seikkailut : Erno Parran ja Huuko Hollinsin ensimmäinen sarjakuvaromaani,978-951-31-7145-2,2013,1340
84.2 D,"Nesbø, Jo.",Poliisi,978-951-0-39943-9,2013,1336
84.2,"Utrio, Kaari.",Seuraneiti,978-952-5330-58-8,2013,1336
85.22,"Kunnas, Mauri.",Aarresaari : kunnasmainen tulkinta Robert Louis Stevensonin klassikosta,978-951-1-26442-2,2012,1334
84.2 D,"Sipilä, Jarkko.",Valepoliisi,978-952-289-048-1,2013,1322
84.2,"Adler, Elizabeth.",Talo maalla,978-951-20-9458-5,2014,1308
84.2,"Rönkä, Matti.",Levantin kyy,978-951-20-9310-6,2013,1307
84.2,"Sipilä, Jarkko.",Luupuisto,978-952-289-140-2,2014,1301
99.1,"Rajala, Panu.",Lavatähti ja kirjamies : rakkauskertomus,978-951-0-39484-7,2013,1288
84.2,"Tervo, Jari.",Esikoinen : romaani,978-951-0-39971-2,2013,1288
85.22,"Havukainen, Aino.",Veera ja maatalon eläimet,951-1-17448-7,2001,1282
84.2,"Mäki, Reijo.",Intiaani,978-951-1-27390-5,2013,1278
84.2,"Jansson, Anna.",Tuhopolttaja,978-951-20-9470-7,2014,1276
84.2 D,"Jokinen, Seppo.",Räätälöity ratkaisu,978-951-23-5305-7,2010,1272
84.2,"Lundberg, Ulla-Lena.",Jää,978-951-851-475-9,2012,1264
77.492,"Haapasalo, Ville.","""Et kuitenkaan usko..."" : Ville Haapasalon varhaisvuodet Venäjällä",978-952-291-012-7,2013,1262
84.2,"Steel, Danielle.",Iso tyttö,978-951-0-40272-6,2013,1260
84.2 H,"Nopola, Sinikka.",Risto Räppääjä ja Sevillan saituri,978-951-31-7997-7,2014,1256
84.2,"Binchy, Maeve.",Seitsemän talvista päivää,978-951-0-40006-7,2013,1253
84.2,"Pelo, Riikka.",Jokapäiväinen elämämme,978-951-851-389-9,2013,1250
3,Guinness world records 2014.,Guinness world records 2014,978-951-32-3784-4,2013,1243
84.2,"Clark, Mary Higgins.",Kuin kaksi marjaa,978-951-31-6802-5,2014,1238
85.22,"Havukainen, Aino.",Veeran keittiöpuuhat,951-1-18221-8,2002,1237
84.2,"Härkönen, Anna-Leena.",Kaikki oikein,978-951-1-27316-5,2014,1225
84.2,"Kyrö, Tuomas.",Kunkku : iloittelu,978-952-234-173-0,2013,1219
84.2,"Kilpi, Marko.",Kuolematon,978-951-20-9307-6,2013,1203
84.2,"Kepler, Lars.",Nukkumatti : rikosromaani,978-951-31-7270-1,2013,1203
84.2,"Mustonen, Enni.",Kultarikko,978-951-1-26353-1,2012,1197
84.2,"Ropponen, Markku.",Kuhala ja tuomitut,978-951-31-7625-9,2014,1179
84.2,"Hosseini, Khaled.",Ja vuoret kaikuivat,978-951-1-27399-8,2013,1173
84.2,"Brown, Sandra.",Paljon pelissä,978-951-31-7603-7,2014,1170
84.2,"Franzén, Peter.",Samoilla silmillä,978-951-31-7431-6,2013,1168
84.2 H,"Parvela, Timo.",Ella ja kaverit menevät metsään,978-951-31-5997-9,2013,1165
84.2,"Roberts, Nora.",Tulen sylissä,978-951-20-8812-6,2013,1164
84.2 JÄN,"Sandberg, Timo.",Kärpäsvaara,978-951-23-5757-4,2014,1163
84.2,"Pättikangas, Eira.",Kuinka monta iltaa,978-951-23-5764-2,2014,1158
85.22,"Kunnas, Mauri.",Robin Hood,978-951-1-23672-6,2009,1153
84.2,"Mankell, Henning.",Haudattu,978-951-1-27763-7,2013,1143
84.2,"Rowling, J. K.",Harry Potter ja viisasten kivi,978-951-31-1146-5,1998,1136
85.22,"Kunnas, Mauri.",Herra Hakkaraisen seitsemän ihmettä,978-951-1-22929-2,2008,1134
84.2,"Kyrö, Tuomas.",Mielensäpahoittaja ja ruskeakastike,978-951-0-39079-5,2012,1128
84.2,"Hiekkapelto, Kati.",Suojattomat,978-951-1-27392-9,2014,1127
84.2,"Lindgren, Minna.",Kuolema Ehtoolehdossa,978-951-851-505-3,2013,1125
85.22,"Kunnas, Mauri.",Koirien Kalevala,951-1-12244-4,1992,1122
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja professori Poksupöksyn piinalliset puuhat,951-31-2841-5,2003,1116
84.2,"Farah, Nura.",Aavikon tyttäret,978-951-1-27828-3,2014,1107
84.2,"Kyrö, Tuomas.",Mielensäpahoittaja,978-951-0-36626-4,2010,1100
84.2,"Oksanen, Sofi.",Kun kyyhkyset katosivat,978-952-01-0781-9,2012,1100
3,Guinness world records 2013.,Guinness world records 2013,978-951-32-3486-7,2012,1097
84.2,"Kelly, Cathy.",Mehiläiskuningatar,978-951-20-9444-8,2014,1090
84.2,"Rowling, J. K.",Harry Potter ja salaisuuksien kammio,951-31-1472-4,1999,1087
85.22,"Kunnas, Mauri.",Koiramäen lapset ja näkki,978-951-1-21898-2,2007,1084
85.22,"Havukainen, Aino.",Veera ja menopelit,951-1-16562-3,2000,1080
84.2 HEVOS,"Hallberg, Lin.","Kesä kutsuu, Sinttu!",978-951-31-7564-1,2014,1080
84.2,"Flynn, Gillian.",Kiltti tyttö,978-951-0-39683-4,2013,1079
85.22,"Havukainen, Aino.",Veera lääkärissä,951-1-16018-4,1999,1068
84.2,"Orkoma, Marja.",Pepperoni & pikilanka,978-951-883-584-7,2014,1058
84.2,"Jungstedt, Mari.",Vaarallinen leikki,978-951-1-26962-5,2013,1055
84.2,"Hämeen-Anttila, Virpi.",Yön sydän on jäätä : kolme viikkoa Karl Axel Björkin elämässä maaliskuussa 1921,978-951-1-28214-3,2014,1050
84.2,"Orkoma, Marja.",Lesti & Lautanen,978-951-883-489-5,2013,1050
84.2 H,"Hallberg, Lin.","Tallilla tapahtuu, Sinttu",978-951-31-7024-0,2013,1043
85.22,"Nordqvist, Sven.",Viiru muuttaa,978-951-31-6844-5,2012,1043
84.2,"Kettu, Katja.",Kätilö : romaani,978-951-0-38200-4,2011,1042
84.2 H ,"Hallberg, Lin.","Hieno hyppy, Sinttu",978-951-31-4921-5,2009,1039
85.22,"Wieslander, Jujja.",Lehmä liukumäessä,951-882-365-0,2003,1037
84.2,"Ahern, Cecelia.",Sadan nimen mittainen matka,978-951-20-9249-9,2014,1028
84.2,"Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 2. osa, Roimien Roboräkien kosto /",951-31-3148-3,2004,1027
84.2,"Jansson, Anna.",Haudan takaa,978-951-20-9121-8,2013,1024
84.2 H ,"Parvela, Timo.",Ella ja jättipotti,978-951-31-4943-7,2009,1024
85.22,"Wieslander, Jujja.",Lehmä rakentaa majan,951-873-558-1,1995,1023
84.2,"Parvela, Timo.",Ella ja kadonnut karttakeppi,978-951-31-5996-2,2012,1022
85.22,"Wieslander, Jujja.",Mimmi Lehmä lukee,978-951-883-257-0,2011,1021
85.22,"Wieslander, Jujja.",Lehmä saa laastarin,978-951-882-596-1,2006,1019
84.2,"Hirvisaari, Laila.","Me, Keisarinna : romaani",978-951-1-26319-7,2013,1013
85.22,"Havukainen, Aino.",Tatu ja Patu Helsingissä,951-1-18984-0,2003,1012
84.2,"Snellman, Anja.","Pääoma : romaani, requiem",978-951-1-26243-5,2013,1009
84.2,"Nieminen, Veera.",Avioliittosimulaattori,978-951-31-7420-0,2013,1007
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja Hurjan Hierrenaisen hirmutuuli,951-31-2933-0,2004,1005
84.2 H ,"Parvela, Timo.",Ella ja Yön ritarit,978-951-31-5588-9,2010,1004
85.22,"Kunnas, Mauri.",Suuri urheilukirja,951-1-07518-7,1988,1001
92.73,"Kivimäki, Ville.",Murtuneet mielet : taistelu suomalaissotilaiden hermoista 1939-1945,978-951-0-37466-5,2013,1001
84.2 H ,"Nopola, Sinikka.",RR kuin Risto Räppääjä,978-951-31-5718-0,2010,993
84.2,"Pakkanen, Outi.",Toinen kerros,978-951-1-26585-6,2012,988
84.2,"Sund, Erik Axl.",Varistyttö,978-951-1-27183-3,2014,987
84.2,"Hämeen-Anttila, Virpi.",Marionetit : romaani,978-951-1-27376-9,2013,979
84.2 H ,"Hallberg, Lin.","Torstaina nähdään, Sinttu",978-951-31-3969-8,2009,976
84.2,"Coben, Harlan.",Lupaa ja vaikene,978-952-492-847-2,2014,974
84.2,"Jokinen, Seppo.",Viha on paha vieras,978-951-23-4885-5,2007,972
85.22,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja Kalju-Koponen",978-951-31-5943-6,2012,970
84.2,"Tuominen, Pirjo.",Silkkipunos,978-951-31-6849-0,2012,967
85.22,"Kunnas, Mauri.",Hui kauhistus!,978-951-1-08578-2,1985,966
15,"Kunnas, Mauri.",Kummallisuuksien käsikirja,978-951-1-25207-8,2011,966
84.2 D,"Brown, Dan.",Inferno,978-951-0-40007-4,2013,964
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja violetin vessan väen vinha vahinko,978-951-31-3831-8,2007,960
84.2,"Hallberg, Lin.",Maailman ihanin Sinttu,978-951-31-3968-1,2008,960
85.22,"Nordqvist, Sven.",Viiru kateissa,978-951-31-2126-6,2001,960
85.22,"Nordqvist, Sven.",Viiru ja Pesonen kettujahdissa,978-951-31-0394-1,1994,959
85.22,"Wieslander, Jujja.",Lehmä siivoaa kotinsa,978-951-873-703-5,1997,951
84.2,"Steel, Danielle.",Etelän valot,978-951-0-39708-4,2013,951
85.22,"Kunnas, Mauri.",Hurja-Harri ja pullon henki,978-951-1-24540-7,2010,951
85.22,"Kunnas, Mauri.","Apua, merirosvoja!",978-951-1-13330-8,1994,949
84.2 D,"Nykänen, Harri.",Leijonakuningas : komisario Ariel Kafkan tutkimuksia,978-952-289-106-8,2013,949
84.2,"Nevanlinna, Arne.",Heta : romaani,978-951-0-40174-3,2014,946
84.2 HELP,"Hallberg, Lin.","Suuri seikkailu, Sinttu",978-951-31-5843-9,2011,945
84.2,"Lehtolainen, Leena.",Kuusi kohtausta Sadusta,978-951-31-8028-7,2014,942
84.2 D,"Jokinen, Seppo.",Lyöty mies,978-951-23-5130-5,2009,939
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja puhuvat pöntöt,951-31-2381-2,2002,935
84.2,"Parvela, Timo.",Ella : varokaa lapsia!,951-31-3685-X,2006,934
84.2 D,"Galbraith, Robert.",Käen kutsu,978-951-1-28011-8,2013,933
84.2,"Rowling, J. K.",Harry Potter ja Azkabanin vanki,951-31-1737-5,2000,933
84.2,"Gavalda, Anna.",Lempi ei ole leikin asia,978-951-20-9480-6,2014,930
84.2,"Roberts, Nora.",Rakkauden kynnyksellä,978-951-20-8810-2,2013,929
85.22,"Kunnas, Mauri.",Kaikkien aikojen avaruuskirja,978-951-1-21600-1,2007,928
68.2,"Havukainen, Aino.","Tatu ja Patu, syömään! : käsikirja kaikille niille, jotka ovat joskus syöneet, syövät juuri nyt tai suunnittelevat syövänsä",978-951-1-28239-6,2014,926
85.22,"Kunnas, Mauri.",Viikingit tulevat!,951-1-21211-7,2006,923
84.2,"Pilkey, Dav.",Kapteeni Kalsari seikkailee,951-31-2380-4,2002,911
84.2,"Parvela, Timo.",Ella ja Äf Yksi,978-951-31-4315-2,2008,910
85.22,"Wieslander, Jujja.","Lehmä, joka tahtoi keinua",951-873-426-7,1993,906
84.2,"Kallioniemi, Tuula.",Kaahailua ja kepposia,978-951-1-25347-1,2011,905
84.2,"Lehtinen, Tuija.",Tuhansien aamujen talo,978-951-1-26735-5,2012,904
85.22,"Kunnas, Mauri.",Hurjan hauska autokirja,978-951-1-12758-1,1993,904
77.49,"Wallace, Daniel.",Galaktiset taistelut,978-951-0-39206-5,2012,903
84.2 H ,"Hallberg, Lin.","Kiva leiri, Sinttu",978-951-31-5250-5,2010,902
84.2,"Hallberg, Lin.","Yli esteiden, Sinttu!",978-951-31-6322-8,2012,902
84.2,"Steel, Danielle.",Sydämen asioita,978-951-0-39518-9,2013,902
85.22,"Nordqvist, Sven.",Viirun ja Pesosen kylvöpuuhat,951-30-9514-2,1990,900
84.2,"Vuori, Kristiina.",Disa Hannuntytär,978-951-31-7638-9,2014,899
84.2,"Grisham, John.",Calicon Joe,978-951-0-39322-2,2014,897
3,Guinness world records 2012.,Guinness world records 2012,978-951-32-3200-9,2011,897
84.2 JÄN,"Child, Lee.",Etsintäkuulutettu,978-951-23-5677-5,2013,896
L84.2,"Hallberg, Lin.","Älä pelkää, Sinttu!",978-951-31-6323-5,2012,894
84.2,"Cussler, Clive.",Nollapiste,978-951-0-40273-3,2014,892
84.2,"Atkinson, Kate.",Eikö vieläkään hyviä uutisia?,978-951-52-3243-4,2013,890
84.2,"James, P. D.",Valepotilas,978-951-1-25934-3,2013,890
84.2,"Parvela, Timo.",Ella ja Sampan urotyöt,978-951-31-5929-0,2011,890
84.2,"Mustonen, Enni.",Jääleinikki,978-951-1-25423-2,2011,889
85.22,"Nopola, Tiina.",Siiri ja villi taapero,978-951-31-7340-1,2013,887
84.2 HELP,"Hallberg, Lin.",Sinttu on paras!,978-951-31-5842-2,2011,883
84.2,"Läckberg, Camilla.",Majakanvartija,978-951-20-8808-9,2012,882
84.2,"Kaaberbøl, Lene.",Poika matkalaukussa,978-952-234-157-0,2013,881
85.22,"Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",951-1-16152-0,1999,879
84.2 D,"Nesbø, Jo.",Isänsä poika,978-951-0-40856-8,2014,876
84.2,"Parvela, Timo.",Ella ja seitsemän törppöä,978-951-31-3895-0,2007,875
84.2 D,"Kesävuori, Saara.",Tarkasti vartioitu,978-951-31-7424-8,2013,874
84.2 H,"Widmark, Martin.",Syntymäpäivän arvoitus,978-951-31-7277-0,2013,874
85.12,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja ärhäkkä koululainen",978-951-31-7359-3,2013,874
84.2,"Jokinen, Seppo.",Hiirileikki,978-951-23-4774-2,2006,872
84.2,"Rissanen, Pirjo.",Kamomillasola,978-951-20-8801-0,2012,870
84.2,"Kinney, Jeff.","Neropatin päiväkirja : [sarjakuvaromaani]. 6, Lunta tupaan /",978-951-0-39931-6,2013,869
84.2,"Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 1. osa, Siivottomien sierainmöykkyjen yö /",951-31-3147-5,2004,866
84.2,"Kivelä, Anneli.",Köydenvetoa Katajamäellä,978-951-23-5558-7,2012,863
84.2,"Jonasson, Jonas.",Lukutaidoton joka osasi laskea,978-951-0-39516-5,2014,854
84.2 JÄN,"Mäki, Reijo.",Sahanpururevolveri : kauneimmat kertomukset,978-951-1-26927-4,2013,853
85.22,"Wieslander, Jujja.",Lehmä kelkkamäessä,951-873-463-1,1994,853
84.2,"Parvela, Timo.",Ella aalloilla,951-31-3437-7,2005,852
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 4, Kovan onnen kesä : Greg Heffleyn julkaisu /",978-951-0-38693-4,2012,852
85.22,"Bagge, Tapani.",Vihreän linnun arvoitus,978-951-31-7213-8,2013,851
84.2 HEVOS,"Hallberg, Lin.",Eppu on hyvä ystävä,978-951-31-7561-0,2014,850
84.2,"Luhtanen, Sari.",Linssit huurussa,978-951-31-7637-2,2014,848
84.2,"Sten, Viveca.",Pinnan alla,978-951-0-39690-2,2014,846
84.2,"Pakkanen, Outi.",Julma kuu,978-952-5918-70-0,2012,845
77.49,"Dowsett, Elizabeth.",Jedien salaisuudet,978-951-0-38201-1,2011,844
84.2,"Soininvaara, Taavi.",Toinen peto,978-951-1-27378-3,2013,843
85.22,"Bergström, Gunilla.",Mikko Mallikas ja syntymäpäiväkutsut,978-951-31-4823-2,2009,839
84.2 H,"Hallberg, Lin.",Eppu tulee taloon,978-951-31-6496-6,2013,839
84.2 D,"Ropponen, Markku.",Kuhala & jokimurhat,978-951-31-7130-8,2013,835
84.2,"Delijani, Sahar.",Jakarandapuun lapset,978-951-0-39806-7,2014,826
84.2,"Hiltunen, Pekka.",Iso,978-951-0-39964-4,2013,826
84.2,"Fossum, Karin.",Carmen Zita ja kuolema : romaani,978-951-0-40524-6,2014,825
84.2 D,"Sipilä, Jarkko.",Rahan metsästäjät,978-952-289-046-7,2013,823
84.2,"Läckberg, Camilla.",Merenneito,978-951-20-8353-4,2011,819
84.2,"Lähteenmäki, Laura.",Ikkunat yöhön,978-951-0-40383-9,2014,817
84.2,"Kinney, Jeff.",Neropatin päiväkirja : Greg Heffleyn julkaisu,978-951-0-35482-7,2009,815
84.2,"Fielding, Helen.",Bridget Jones : mad about the boy,978-951-1-27420-9,2013,813
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 5, Karu totuus : Greg Heffleyn julkaisu /",978-951-0-39649-0,2012,812
84.2 D,"Clark, Mary Higgins.",Kadonneet vuodet,978-951-31-6801-8,2013,810
85.22,"Hill, Eric.",Puppe saa pikkusiskon,951-1-10827-1,1989,809
L84.2,"Hallberg, Lin.",Eppu etsii kotia,978-951-31-6495-9,2012,808
84.2,"Kunnas, Mauri.",Yötarinoita,978-951-1-25118-7,2010,807
84.2 H ,"Hallberg, Lin.","Aprillia, Sinttu",978-951-31-5249-9,2010,807
84.2,"Lehtolainen, Leena.",Paholaisen pennut,978-951-31-6827-8,2012,807
84.2,"Roth, Veronica.",Outolintu,978-951-1-27367-7,2014,806
85.22,"Nordqvist, Sven.",Viirun syntymäpäivät,951-31-0393-5,1994,804
84.2,"Mustonen, Enni.",Lapinvuokko,978-951-1-24357-1,2010,803
84.2,"Tuominen, Pirjo.",Perintömaat,978-951-31-5626-8,2010,803
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 2, Isoveli isottelee :Greg Heffleyn julkaisu",978-951-0-36036-1,2010,800
65.8,"Lipkowitz, Daniel.",LEGO leikkikirja : ideoita rakentamiseen ja leikkimiseen,978-951-0-40107-1,2013,797
85.22,"Kunnas, Mauri.",Kuningas Artturin ritarit : kappale kissojen varhaista historiaa,951-1-14974-1,1997,797
85.22,"Kunnas, Mauri.",Seitsemän koiraveljestä : koiramainen versio Aleksis Kiven romaanista Seitsemän veljestä,951-1-18100-9,2002,797
84.2,"Lönn, Pasi.",Lunastaja,978-951-31-7425-5,2013,794
84.2 D,"Remes, Matti.",Tappaja,978-951-31-7126-1,2013,793
85.22,"Miler, Zdeněk.",Myyrä ja kala,978-951-31-7050-9,2013,793
85.22,"Bergström, Gunilla.",Mikko Mallikas on kuningas,978-951-31-6642-7,2012,791
84.2,"Tartt, Donna.",Tikli,978-951-0-40249-8,2014,790
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja ulkoavaruuden uskomattoman keljut keittiöntädit (ja ruokalan ihan yhtä ilkeät zombinynnyt),951-31-2699-4,2003,790
85.22,"Kunnas, Mauri.",Vampyyrivaarin tarinoita,951-1-11854-4,1991,789
84.2,"Jokinen, Seppo.",Sana sanaa vastaan,951-23-4669-9,2005,787
84.2,"Cleeves, Ann.",Viiltoja,978-951-23-5762-8,2014,786
84.2,"King, Stephen.",Tohtori Uni,978-951-31-7332-6,2014,786
84.2,"Rowling, J. K.",Harry Potter ja puoliverinen prinssi,951-31-3507-1,2006,784
85.22 KU,"Nopola, Tiina.",Siiri tekee maalin,978-951-31-5932-0,2011,782
86.22,"Karjalainen, Tuula.",Tove Jansson : tee työtä ja rakasta,978-951-31-6963-3,2013,779
84.2 D,"Slaughter, Karin.",Yli rajan,978-951-31-6915-2,2013,778
84.2,"Widmark, Martin.",Eläinpuodin arvoitus,978-951-31-6780-6,2012,778
84.2,"Jansson, Anna.",Murhan alkemia,978-951-20-8783-9,2012,777
84.2,"Hjorth, Michael.",Tunturihauta,978-952-279-070-5,2013,776
85.22,"Nordqvist, Sven.",Viiru ja Pesonen telttaretkellä,951-31-0098-7,1993,776
84.2,"Tervo, Jari.",Revontultentie,978-951-0-40763-9,2014,774
84.2,"Sipilä, Jarkko.",Suljetuin ovin,978-952-5918-75-5,2012,774
84.2,"Luhtanen, Sari.",Murusia,978-951-31-7132-2,2013,772
84.2,"Blædel, Sara.",Vain yksi elämä,978-951-23-5573-0,2014,772
84.2,"Varis, Tuula-Liina.",Että tuntisin eläväni : [novellikokoelma],978-951-0-40117-0,2013,771
N84.2,"Kinney, Jeff.","Neropatin päiväkirja. 3, Viimeinen oljenkorsi : Greg Heffleyn julkaisu /",978-951-0-37085-8,2011,771
84.2,"Harjula, Kristiina.",Pispalan kiviä,978-951-23-5570-9,2013,771
85.22,"Nordqvist, Sven.",Viiru puijaa Pesosta,978-951-31-0340-8,1994,771
99.1,"Pitko, Matti.",Puolikarkeat muistelmat,978-952-299-008-2,2013,768
84.2,"Rowling, J. K.",Harry Potter ja kuoleman varjelukset,978-951-31-4004-5,2008,768
85.22,"Nopola, Tiina, kirjoittaja.",Siiri ja kauhea kummitus,978-951-31-5689-3,2010,767
84.2,"Misko, Anna.",Armovuosi,978-952-492-842-7,2014,767
84.2,"McCall Smith, Alexander.",Limpopon yksityisetsiväkoulu,978-951-1-27897-9,2014,765
77.4983,"Windham, Ryder.",Star wars : Tähtien sodan kuvitettu opas,978-951-0-39474-8,2012,763
84.2,"Nesser, Håkan.",Yksinäiset : rikosromaani,978-951-31-7602-0,2014,763
84.2,"Parvela, Timo.",Ella Lapissa,951-31-2874-1,2003,762
84.2,"Rowling, J. K.",Harry Potter ja liekehtivä pikari,951-31-2038-4,2001,760
84.2,"Storgård, Päivi.",Keinulaudalla : romaani,978-951-52-3079-9,2013,759
84.2,"Child, Lee.",Paluu päämajaan,978-951-23-5789-5,2014,759
84.2,"Tuuri, Antti.",Alkemistit : maallinen rakkaus : romaani,978-951-1-27111-6,2013,759
84.2,"Vuori, Kristiina.",Siipirikko,978-951-31-7084-4,2013,759
84.2,"Forsyth, Frederick.",Tappolista,978-951-1-27863-4,2014,758
84.2,"Häkämies, Kari.",Erään yhtiön murha : rikosromaani,978-951-851-585-5,2014,757
